"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","mean_annual_precipitation"
"22","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,81,NA,NA,0.005871632,NA,NA,0.003631678,NA,NA,NA,NA,NA,0.0130698,NA,2.216705904,NA,14.8,10.7,NA,0.128999946518515,1.3,1.6799992904822,4.1,1.445,NA,NA,NA,41.962,43.407,1.921,NA,NA,1.506,44.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"23","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,80,NA,NA,0.018615688,NA,NA,0.005026544,NA,NA,NA,NA,NA,0.027464565,NA,4.300522551,NA,17.3,9.9,NA,0.186999920419634,1.3,2.33999901174307,7.4,10.883,NA,NA,NA,124.338,135.221,12.353,NA,NA,14.519,149.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"24","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,87,NA,NA,0.040526511,NA,NA,0.018869175,NA,NA,NA,NA,NA,0.071157799,NA,5.067070511,NA,20.5,9.8,NA,0.300999873094851,1.3,2.53999892727666,10.7,20.139,NA,NA,NA,322.098,342.237,34.32,NA,NA,25.492,367.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"25","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,26,NA,NA,0.004543525,NA,NA,0.000113097,NA,NA,NA,NA,NA,0.005541765,NA,2.432847296,NA,10.4,4.1,NA,0.0839999663430246,1.3,1.75999925669564,6.3,NA,NA,NA,NA,13.674,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"26","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,29,NA,NA,0.008454019,NA,NA,0.000706858,NA,NA,NA,NA,NA,0.011979079,NA,4.011496271,NA,12.3,5.2,NA,0.123499947742121,1.3,2.25999904552963,7.1,NA,NA,NA,NA,28.75,NA,NA,NA,NA,1.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"27","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,29,NA,NA,0.01951811,NA,NA,0.001734943,NA,NA,NA,NA,NA,0.026590418,NA,5.896450271,NA,14.8,4.9,NA,0.183999923121282,1.3,2.73999884281026,9.9,NA,NA,NA,NA,77.934,NA,NA,NA,NA,8.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"28","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,25,NA,NA,0.002195186,NA,NA,9.5e-05,NA,NA,NA,NA,NA,0.002733969,NA,2.377869471,NA,6.1,2.5,NA,0.0589999783464371,1.3,1.73999926514228,3.6,0.693,NA,NA,NA,4.54,5.233,1.206,NA,NA,0.301,5.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"29","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,28,NA,NA,0.006672148,NA,NA,0.000490873,NA,NA,NA,NA,NA,0.008332282,NA,3.332912831,NA,12.7,6.2,NA,0.102999956020792,1.3,2.05999912999604,6.5,2.357,NA,NA,NA,24.635,26.992,2.384,NA,NA,1.731,28.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"30","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,29,NA,NA,0.027495392,NA,NA,0.006647604,NA,NA,NA,NA,NA,0.040828104,NA,9.402464711,NA,14.8,5.1,NA,0.227999904713489,1.3,3.45999853873121,9.7,10.255,NA,NA,NA,112.321,122.576,26.774,NA,NA,12.231,134.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"31","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,71,NA,NA,0.00762405,NA,NA,0.0014522,NA,NA,NA,NA,NA,0.011594234,NA,1.814582384,NA,12.8,6.5,NA,0.121499947406215,1.3,1.51999935805533,6.3,NA,NA,NA,NA,33.711,NA,NA,NA,NA,3.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
